langcode,type,status,uid,title,created,changed,default_langcode,path,field_artis,field_emotion,field_lyrics_chorus,field_lyrics_hook,field_lyrics_lead,field_name,field_year
en,country_lyrics,1,0,"ลูกสาวนายจ้าง	",1581650451,1581650451,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ทำงานหลายปีค่าแรงโอทีก็ต๊ำต่ำ
เจ้านายใจดำไม่ทำให้ถอดใจท้อ
สู้ทนทำไปค่าแรงเท่าไรไม่ง้อ
สิ่งเดียวที่รอก็คือน้ำใจลูกสาวเจ้านาย","ลูกสาวลูกสาวนายจ้าง
อยากพูดกับนางก็กลัวนายจ้างสงสัย
ไม่กลัวตกงานแต่กลัวไม่เห็นทรามวัย
เก็บความหวั่นไหวแอบรักในใจก็พอ","ผมยอมจำนนและพร้อมจะทนทุกอย่าง
เมื่อมาพบนางลูกสาวนายจ้างคนสวย
ถึงแม้ค่าแรงเจ้านายจะไม่อำนวย
ผมเอาความสวยมาช่วยชดเชยค่าแรง

ผมยาวยาวแก้มขาวเที่ยวมายิ้มให้
ลูกสาวเจ้านายเสริมใจลูกจ้างขันแข็ง
ผมมาเข้างานโดยไม่เสียดายค่าแรง
ได้เห็นแก้มแดงเหมือนได้ค่าแรงหัวใจ","ลูกสาวนายจ้าง	",2541
en,country_lyrics,1,0,"คนใจจากใบขวาน	",1581691048,1581691048,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ถูกเอาเปรียบ ใครจะเหยียดหรือใครจะหยัน
ก็ไม่เคยสะท้าน คนอีสานใจก็ยังสู้
ให้เป็นตำนานลูกหลานน้อได้เรียนรู้
ให้เขาร่ำเขาลือ คือคนใจจากแดนใบขวาน
ให้เขาร่ำเขาลือคือคนใจ จากแดนใบขวาน","คนใจจากแดนใบขวาน เป็นคนสู้งานไม่ระรานใคร
พึ่งพายามเจ็บป่วยไข้ อีกทั้งน้ำใจละใสซื่อสัตย์จริง
รักใครละก็รักจริงจริง ถ้ารักใครก็ไม่เคยทอดทิ้ง
ไม่กลอกไม่กลิ้ง นี่แหละคนอีสาน","หอบเอาหัวใจพร้อมสู้ตายจากแดนใบขวาน
ก้าวเดินทางออกจากบ้านเข้าเมืองใหญ่ด้วยใจมุ่งหวัง
อำลาบ้านเกิดทำงานหาเงินเก็บตังค์
หนักเบาเราทำทุกอย่างไม่หวั่นแม้อันตราย

อ้ายบุญศรี ต้องหาเงินใช้หนี้ ธกส.
ขายข้าวไม่พอ ที่กู้มาผ่อนส่งไม่ทัน
รักลูกสาวผู้ใหญ่ ขออภัยอย่าเพิ่งว่ากัน
ให้โอกาสทำงาน ปีหน้าละสิมาขอแต่ง

น้องบานเย็น เคยเป็นหมอลำขอข้าว
น้องนางหน้าขาว ต้องเข้าทำงานในกรุง
ปีนี้ฝนแล้ง ได้ข้าวบ่พอกระบุง
ชวนหมู่เฮาเข้ากรุง ขึ้นรถไฟไปไทสาก่อน","คนใจจากใบขวาน	",2549
en,country_lyrics,1,0,คนรอขอร้อง,1581691497,1581691497,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"อย่าให้มีคู่แข่ง เพราะแรงของพี่มีน้อย
ขอร้องท่องคำว่าคอย เมื่อมีใครเขามาอ้อน.
เปลี่ยนรักเป็นแรง ก่อกำแพงห้ามใครแทรกซ้อน
เอาความภักดีเป็นกลอน ล็อคห้องใจให้เราสองคน
","ความรวยไม่พอ ความหล่อพี่ก็เป็นรอง.
หากเจ้าแบ่งใจสอง พี่คงต้องยอมสิหนอ.
ไม่ใช่ไม่สู้ แต่พี่รู้ว่าแรงไม่พอ
หากเจ้ารักจริงแล้วก็ พี่ขอกันใจไว้ก่อน.","อย่าให้มีคู่แข่ง เพราะแรงของพี่มีน้อย
ประคองหัวใจไว้คอย อย่าปล่อยให้ใครเขาแย่ง.
พี่สามัญชน เดินถนนของคนขายแรง
ประกบกับใครก็แหยง กลัวแรงต้านเขาไม่อยู่.

เก็บรักเราเข้าอู่ ปิดล็อคประตูใจไว้
อย่ายอมเมื่อยามมีใคร ยื่นใจเพื่อหมายเคียงคู่.
ยามเมื่อห่างไกล เจอะชายใดให้น้องตรองดู
หากยอมให้ใครเคียงคู่ เหมือนสร้างศัตรูคนรอ",คนรอขอร้อง,2543
en,country_lyrics,1,0," ความฝันของแม่	",1581691815,1581691815,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"เก็บหอมออมอด เพื่อปลดหนี้สินรุงรัง
ลูกแม่สู้งานไม่ยั้ง สร้างความฝันให้ถึงปลายทาง
ฟ้ารุ่งวันใหม่ บดบังความยากไร้เลือนราง
ลูกคงยังพอมีหวัง หากฟ้ายังให้ความปรานี","ความฝันของแม่ คอยเตือนเสมอ
สิ่งเดียวที่แม่อยากเจอ เพียงอยากเห็นลูกเป็นคนดี
แก้วแหวนเงินทอง นำมากองทั่วพื้นปฐพี
ทรัพย์สินนอกกายเรานี้ ใช่สิ่งที่แม่นี้ต้องการ","คำสอนของแม่คอยเตือนในใจ
เกิดมาเป็นลูกผู้ชายอย่าหวั่นไหวใจต้องอดทน
หนทางลำบากอุปสรรคมากมายท่วมท้น
วัดใจต่อสู้ความจนให้หลุดพ้นสมเป็นลูกชาย

เพื่อวันข้างหน้ายังมีความหวัง
แม่คือผู้ให้พลังลูกปลูกฝังคุณงามในใจ
แม้งานจะหนักเหงื่อกี่หยดรดมาท่วมกาย
แหงนมองรูปแม่เติมไฟจุดประกายให้มีพลัง"," ความฝันของแม่	",2550
en,country_lyrics,1,0,คำเว้าสู่ขวัญ,1581692128,1581692128,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"อาจสิเป็นคำเว้า ธรรมดา ธรรมดาคือบ่มีอิหยัง
แต่บ่ฮู้เป็นหยัง พอได้ยิน พอได้ฟังอ้ายฮู้สึกดีหลาย","ยิ่งเป็นว่าฮัก จากปากของเจ้า
แค่คึดฮอดคำเว้าแล้วอ้ายกะเซาเมื่อยใจ
มากกว่าคำว่าฮัก คือความห่วงใย
เติมช่องว่างหัวใจให้เฮายังอยู่นำกัน
อยากได้ยินไปดน ดน จนข่วนชีวิตเฮาหล่นจากกัน
ย้อนคำเว้าของเจ้าคือคำสู่ขวัญของหัวใจอ้าย

อยากได้ยินว่าฮัก จากปากของเจ้า
แค่คึดฮอดคำเว้าแล้วอ้ายกะเซาเมื่อยใจ
มากกว่าคำว่าฮัก คือความห่วงใย
เติมช่องว่างหัวใจให้เฮายังอยู่นำกัน
อยากได้ยินไปดน ดน จนข่วนชีวิตเฮาหล่นจากกัน
ย้อนคำเว้าของเจ้าคือคำสู่ขวัญของหัวใจอ้าย","เฮ็ดหยังอยู่ อยู่ไสอ้าย กินข้าวแล้วยัง
แล้วเวียกหรือยัง แลงอยากกินหยัง มื้อนี้เป็นจั่งใด๋
บ่ซำบาย หายแล้วไป๋ กินยาแล้วบ้อ
เป็นใด๋แนน้อ งานซงคือบ่ อย่าเพิ่งท้อเด้ออ้าย

เจ้าฮู้บ่ ยามอ้ายท้อ กะคึดพ้อคำนาง
ที่เคยได้ฟัง แล้วจั๊กพลังอ้ายมันมาแต่ไส
บ่ได้ยิน จั๊กมื้อหนึ่ง ซงบ่ลึ้งหัวใจ
กินข้าวบ่แซบ หลับตาบ่ได้ คือขาดหยังไปจั๊กอย่าง",คำเว้าสู่ขวัญ,2552
en,country_lyrics,1,0,ใครหนอ หนอใคร,1581692609,1581692609,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ใครที่ปิดไฟและปิดทีวีให้ฉัน
ในคืนที่ฉันเคลียร์งานเผลองีบ หลับไป
ใครให้ยืมมือ เกาหลังนวดคอ นวดไหล่
หลับฝันสบายทุกคืน","ก็จะใครหนอ.. หนอใคร
เฝ้าคอยดูแลและคอยห่วงใย
ก็จะใครหนอ.. หนอใคร
ถ้าไม่ใช่เธอแล้วจะเป็นใคร
รู้สึกเหมือนฉันนั้นแสนโชคดี
มีคนดี ๆ อย่างเธอคนนี้ดูแลหัวใจ","ใครที่ปลุกฉันให้ตื่นตอนเช้า ทุกวัน
ใครจัดอาหารเตรียมชุดทำงานไว้ให้
ใครเล่าคอยเตือน วันนี้อย่าลืม อะไร
คอยส่งยิ้มให้ ทุกเช้า

ใครที่คอยถามเที่ยงแล้วกินข้าว หรือยัง
ถ้าไม่ได้ฟังเสียงเธอวันไหน มันเหงา
ใครเล่าโทรตาม วันนี้ทำโอ หรือเปล่า
เย็นนี้อยากกิน อะไร",ใครหนอ หนอใคร,2561
en,country_lyrics,1,0,"งานหลักก่อนหลับ	",1581692816,1581692816,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"งานหลักคืนนี้ ยังจบด้วย วิธีเก่าเก่า
จ่ายค่านั่งลืมความเหงา จึงบอกลาโต๊ะกลับไปฝัน
เมื่อแฟนยังไม่มี ก็คงเป็นแบบนี้อีกนาน
คนไม่มีแม่บ้าน กลางคืนเนิ่นนานเสมอ","ไม่ได้ติดนักร้อง ไม่ได้มานั่งมองสาวเบียร์
จิบให้พออ่อนเพลีย เพื่อจะเคลียร์ความเหงาได้ง่าย 
เห็นเพื่อนขอตัวกลับหลังจากคนที่บ้านวางสาย 
ก็ได้แต่แอบถอนใจอยากให้มีใครโทรตามเหมือนกัน","งานหนักคืนนี้ คือหาวิธีนอนหลับ
ที่บ้านขาดคนยิ้มรับ ไม่อยากรีบกลับไปเหงา
หลังเวลาทำงาน จึงประจำการ ณ ที่ร้านเก่า
วันไหนติดลมยาว เป็นยาแก้เหงาชั้นดี

ที่เป็นแบบนี้ ก็เพราะเคยโดนทิ้งใจ
เหลือแค่ความเหงาค้างไว้ ไม่ยอมลบเลือนสักที
ใจที่ยังดิ้นรน เพื่อจะหาคนมายืนแทนที่
ก่อนจะหลับฝันดี จึงหาวิธีกล่อมใจ","งานหลักก่อนหลับ	",2550
en,country_lyrics,1,0,"จดหมายถึงพ่อ	",1581693090,1581693090,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ต้องพึ่งก๋วยเตี๋ยว ก๋วยเตี๋ยวป๊อกๆ.ก๋วยเตี๋ยวป๊อกๆ
กินอิ่มถึงบอก เงินออกก่อนนะจะจ่าย
อย่าโกรธนะพ่อ ลูกพ่อไม่เคยโกงใคร
ค่าแรงอยู่ที่เจ้านาย เขายังไม่จ่ายนัดผิดบิดเบือน.","ใต้เพิงหมาแหงน เขตแคว้นคนงานก่อสร้าง
หนุ่มนาหน้าจาง นั่งเหงามีเงาเป็นเพื่อน.
มองฟ้าพาหม่น คิดถึงแต่คนชื่อเดือน
พ่อครับ ช่วยดูช่วยเตือน บอกเดือน ว่าผมคิดถึง","จดหมายใบนี้เขียนที่ ก.ท.ม
ส่งถึงพ่อ พ่อฉันที่อยู่บ้านนา
ลำบากเหลือเกินพ่อครับ ตั้งแต่ลูกมา
พอตื่นลืมหูลืมตา ก็ทำงานจนตัวเป็นเกลียว

ก่อสร้างแบกหาม ลูกทำทุกอย่างเลยพ่อ.
สร้างทางฝังท่อ ไม่ท้อเพราะเงินตัวเดียว.
เงินร้อยเงินพัน ดูมันหายากจริงเชียว
บางครั้งต้องนั่งหน้าเซียว บาทเดียวไม่มีติดกาย.","จดหมายถึงพ่อ	",2542
en,country_lyrics,1,0,"จอมอ ป.6	",1581693324,1581693324,1,en,ไมค์ ภิรมย์พร,กำลังใจ,".จบ ป.6 หยุดการเรียนไว้
มือจับคันไถ ไม่ชินเมื่อจับปากกา
อยากเรียนให้สูง แต่ความจนขวางทางศึกษา
เป็นคนไร้ปริญญา ภาษาถึงดูแกนแกน","ความรู้ต่ำ บรรยายคำรักไม่หวาน
สำนวนด้านๆ อย่าหันหาใครมาแทน
ช่วยตอบสักน้อย อย่าปล่อยให้คอยคลอนแคลน
อยากมีใจรักแน่น ทดแทนใบปริญญา","ความรู้ต่ำ เขียนคำว่ารักไม่สวย
อภัยพี่ด้วย คนสวยเมื่อเธอเปิดอ่าน
จดหมายใบนี้ เขียนจากคนชั้นแรงงาน
ส่งให้เธอถึงบ้าน ต้องการสื่อสารดวงใจ.

คนบ้านป่า วุฒิการศึกษาไม่สูง
ลายมือลูกทุ่ง ยุ่งเหยิงเหมือนรอยตีนไก่
กลั่นคำว่ารัก มาจากส่วนลึกในใจ
อ่านได้ความหรือไม่ เนื้อในจดหมายครวญมา","จอมอ ป.6	",2557
en,country_lyrics,1,0,กี่ปีแล้วน้อง,1581693682,1581693682,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"รู้สึกหรือเปล่า ว่าเราเผลอใจร้อนบ่อย
พลาดนิดผิดหน่อย ก็แรงใส่กันทุกคราว
คุยแต่เรื่องงาน จนลืมชื่อร้านที่เคยเลี้ยงข้าว
กี่ปีแล้วนะที่เรา ลืมฉลองวันเกิดให้กัน
","อยากให้เรานั้น เพิ่มความหวานให้คำว่าแฟน
ชีวิตคลอนแคลน ถ้ารักหนักแน่นก็คงก้าวผ่าน
เติมน้ำตาลใจ ให้เรายิ้มได้ในทุกทางฝัน
ทำตัวเหมือนเริ่มคบกัน ถึงรักเรานั้นผ่านมากี่ปี","กี่ปีแล้วน้อง ที่เราสองเรียกกันว่าแฟน
พี่ทำคะแนนในฐานะแฟนผ่านเกณฑ์หรือเปล่า
พาน้องแรมรอนลุ่มลุ่มดอนดอนผ่านร้อนผ่านหนาว
ก็ยอมรับว่าหลายคราวถูกงานรุมเร้าจนลืมแคร์ใจ

เคยสัญญาไว้ เมื่อสมัยปลงใจร่วมฝัน
จุดหมายสำคัญ หลายข้อเหมือนกันที่ทำสูญไป 
ความหวานเคยมีง่ายง่ายดีดีทยอยหล่นหาย
งานหนักหรือรักเปลี่ยนไปทำไมจึงไม่เหมือนเก่า
",กี่ปีแล้วน้อง,2549
